bodyparts,forehead,forehead,forehead,trunk_base,trunk_base,trunk_base,trunk_01,trunk_01,trunk_01,trunk_02,trunk_02,trunk_02,trunk_03,trunk_03,trunk_03,trunk_04,trunk_04,trunk_04,trunk_nose,trunk_nose,trunk_nose,right_eartop,right_eartop,right_eartop,right_earmid,right_earmid,right_earmid,right_earbtm,right_earbtm,right_earbtm,right_tusk_end,right_tusk_end,right_tusk_end,left_eartop,left_eartop,left_eartop,left_earmid,left_earmid,left_earmid,left_earbtm,left_earbtm,left_earbtm,left_tusk_end,left_tusk_end,left_tusk_end,upper_jaw,upper_jaw,upper_jaw,lower_jaw,lower_jaw,lower_jaw,right_eye,right_eye,right_eye,left_eye,left_eye,left_eye,back_base,back_base,back_base,back_end,back_end,back_end,back_middle,back_middle,back_middle,tail_base,tail_base,tail_base,tail_end,tail_end,tail_end,front_left_thai,front_left_thai,front_left_thai,front_left_knee,front_left_knee,front_left_knee,front_left_paw,front_left_paw,front_left_paw,front_right_thai,front_right_thai,front_right_thai,front_right_knee,front_right_knee,front_right_knee,front_right_paw,front_right_paw,front_right_paw,back_left_paw,back_left_paw,back_left_paw,back_left_thai,back_left_thai,back_left_thai,back_right_thai,back_right_thai,back_right_thai,back_left_knee,back_left_knee,back_left_knee,back_right_knee,back_right_knee,back_right_knee,back_right_paw,back_right_paw,back_right_paw,belly_bottom,belly_bottom,belly_bottom,body_middle_right,body_middle_right,body_middle_right,body_middle_left,body_middle_left,body_middle_left
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,150.32951,1.6041145,141.94954,,,,147.04507,2.4850194,135.39247,147.9147,-0.10432995,139.13347,,,,,,,,,,,,,146.31169,-0.7766239,141.23763,,,,149.17569,-0.36438084,142.04367,,,,,,,,,,144.313,0.1565724,137.3987,138.74286,3.7657442,132.82664,142.26965,1.1916369,134.80524,138.74286,3.7657442,132.82664,138.38335,15.926731,130.82698,144.44257,8.0217705,142.615,145.83177,12.556182,143.51678,145.97491,15.534887,143.46672,,,,143.864,13.43466,139.2397,144.71198,15.785205,137.51123,137.89618,16.561562,135.96541,137.61247,8.471616,136.09294,140.09741,8.798111,133.11707,137.87907,14.458289,136.0591,141.27087,14.746762,136.0969,140.92805,17.133621,136.77832,141.72745,10.648045,137.79918,,,,,,
1,,,,149.2609,2.6833396,143.05386,,,,,,,,,,150.39723,1.6001666,141.9828,,,,147.42436,2.5757005,135.36534,148.12538,-0.11470823,139.30269,,,,,,,,,,,,,146.52917,-0.7845484,141.40863,,,,149.27577,-0.36294872,142.10477,,,,,,,,,,144.39677,0.27129963,137.44164,138.85742,3.7595549,132.90465,142.30089,1.3043792,134.80832,138.85742,3.7595549,132.90465,138.952,15.927621,130.63184,144.5866,8.255156,142.70566,145.91759,12.767749,143.55002,146.02823,15.533388,143.51944,,,,144.06134,13.440042,139.43132,144.7874,15.914289,137.57774,137.92134,16.593279,135.94888,137.64359,8.537813,136.0806,140.34235,9.038654,133.31929,138.02196,14.473207,135.91571,141.48009,14.741186,136.2676,141.13843,17.130184,136.94968,141.79955,10.6566725,137.83246,,,,,,
2,,,,,,,,,,,,,,,,150.51593,1.5911875,142.07721,,,,147.43256,2.680422,135.38383,148.32228,-0.13234511,139.48842,,,,,,,,,,,,,146.65234,-0.7933846,141.48856,,,,149.3423,-0.3670492,142.13983,,,,,,,,,,144.41292,0.2719824,137.42397,138.97089,3.7716315,132.98671,142.49677,1.3066173,134.99387,138.97089,3.7716315,132.98671,139.0963,15.924836,130.7463,144.8068,8.268144,142.87877,145.95157,12.76758,143.5414,146.16809,15.721082,143.64838,,,,144.33914,13.571488,139.69548,145.00514,15.935119,137.78477,137.94096,16.593529,135.9287,137.70528,8.575502,136.09898,140.53073,9.052292,133.48564,138.09358,14.471809,135.94695,141.7961,14.732292,136.54713,141.45613,17.14358,137.23042,141.8868,10.770368,137.87645,,,,,,
3,,,,,,,,,,,,,,,,150.76276,1.5673966,142.29843,,,,147.47746,2.6908135,135.42676,148.46358,-0.15558548,139.6506,,,,,,,,,,,,,146.81291,-0.81799346,141.6442,,,,149.46077,-0.38798657,142.2464,,,,,,,,,,144.34885,0.27133864,137.39601,138.96465,3.7520075,133.0074,142.59148,1.3385035,135.10806,138.96465,3.7520075,133.0074,139.86902,15.686059,130.64732,144.78511,8.2555685,142.90196,145.9506,12.776197,143.5425,146.04915,15.463235,143.82683,,,,144.36978,13.576752,140.28012,143.50493,15.456901,139.56189,137.91817,16.504496,135.89542,137.70485,8.579373,136.09941,140.58919,9.128059,133.5734,138.04987,14.371385,135.88318,142.05652,14.676943,136.8284,141.72949,17.08381,137.49834,141.91571,10.779181,137.88466,,,,,,
4,,,,,,,,,,,,,,,,150.83089,1.5582136,142.30513,,,,147.56625,2.6782064,135.50674,148.3842,-0.17168881,139.87135,,,,,,,,,,,,,146.9598,-0.83492756,141.7579,,,,149.46553,-0.42723674,142.23944,,,,,,,,,,144.34734,0.2687477,137.39764,138.9975,3.9540076,133.03726,142.46732,1.3237964,135.27357,138.9975,3.9540076,133.03726,139.96881,15.523317,130.6275,144.89049,8.233982,143.0471,146.09193,12.857232,143.65799,146.07062,15.195044,143.81152,,,,144.44983,13.564738,140.35625,143.55328,15.384798,139.59294,137.93471,16.426033,135.87839,137.73528,8.719558,136.11385,140.64891,9.234248,133.67113,137.9317,14.357215,135.77919,142.06363,14.624175,136.87366,141.7551,17.02249,137.52574,142.05632,10.519332,137.92708,144.76425,5.722584,134.00465,,,
5,,,,149.76134,2.6741176,143.30766,,,,,,,,,,151.018,1.5496947,142.31947,,,,147.7794,2.6476882,135.80711,148.37323,-0.20343354,139.93849,,,,,,,,,,,,,147.08597,-0.8646978,141.74037,,,,149.527,-0.7539384,142.19981,,,,,,,,,,144.3334,0.24239765,137.38193,139.1996,3.9400203,133.22775,142.52261,1.3191707,135.40193,139.1996,3.9400203,133.22775,140.27322,15.431052,130.3439,144.74751,8.226332,143.2773,146.21027,12.911796,143.64041,146.03891,15.160453,143.83694,,,,145.00423,13.741147,140.8888,143.85757,15.325106,139.88701,138.01262,16.520144,135.82613,137.85274,9.047713,136.10237,140.62288,9.296948,133.77711,137.89687,14.316522,135.74709,142.06395,14.508384,137.02048,141.86934,16.944752,137.58604,142.13405,10.388206,137.83713,144.94469,5.7156034,133.9982,,,
6,,,,149.99983,2.6489756,143.3532,,,,,,,,,,151.12762,1.521577,142.25595,,,,147.75597,2.6179519,135.96613,148.37013,-0.22120056,139.93611,,,,,,,,,,,,,147.08846,-0.88523,141.74335,,,,149.4389,-0.7954137,142.56885,,,,,,,,,,144.33034,0.22462504,137.37961,139.24205,3.9839797,133.26773,142.59523,1.3082191,135.47131,139.24205,3.9839797,133.26773,140.63298,15.14766,130.60938,144.76834,8.265675,143.33,146.29721,12.913413,143.53949,146.009,15.151845,143.80779,,,,145.21494,13.8946,140.9063,144.04546,15.271663,139.8827,138.18796,16.43346,135.80566,137.98424,9.097434,136.03667,140.69534,9.3784075,134.06827,137.88531,14.415637,135.75896,142.02615,14.546461,137.21352,141.9647,17.01912,137.69377,142.29814,10.330748,137.80774,145.08003,5.684486,133.99031,,,
7,,,,,,,,,,,,,,,,151.18376,1.5007514,142.29674,,,,147.74846,2.5979404,136.02559,148.55786,-0.2455916,140.11159,,,,,,,,,,,,,147.11058,-0.8872865,141.76472,,,,149.50125,-0.80440474,142.62737,,,,,,,,,,144.35783,0.22088003,137.4059,139.27919,3.9443376,133.3039,142.61647,1.2998652,135.50008,139.27919,3.9443376,133.3039,140.73457,15.016041,130.5599,144.79646,8.2641,143.35794,146.30067,12.973602,143.54546,146.009,15.151845,143.80779,,,,145.43076,13.886916,141.11716,144.25275,15.198014,140.08498,138.22021,16.389326,135.82793,138.3599,9.123928,135.6533,140.72076,9.535332,134.08945,137.89268,14.457256,135.76384,142.03986,14.757603,137.26483,142.14131,16.99244,137.7093,142.32727,10.318482,137.83325,,,,,,
8,,,,,,,,,,,,,,,,151.40215,1.4685775,142.49962,,,,147.91023,2.563966,136.1697,148.58461,-0.2588647,140.13724,,,,,,,,,,142.41109,0.32635874,141.74992,147.04628,-0.9348936,142.23355,,,,149.71933,-0.83817035,142.83575,,,,,,,,,,144.53635,0.18664597,137.57419,139.3152,3.94484,133.33041,142.77295,1.3805798,135.68338,139.3152,3.94484,133.33041,140.88438,14.6031885,130.65808,144.99127,8.175603,143.52078,146.35622,13.134939,143.57996,146.009,15.151845,143.80779,,,,145.86067,13.715954,141.5416,144.43478,15.024397,140.26666,138.23459,16.437254,135.82747,138.52963,9.103784,135.81844,140.80049,9.725036,134.15535,138.297,14.510872,135.41367,142.1022,14.838306,137.32216,142.11757,16.993675,137.90453,142.50117,10.227259,137.9923,145.22173,5.632753,134.10242,,,
9,,,,,,,,,,,,,,,,151.56259,1.4244006,142.63963,,,,147.92572,2.5372946,136.19579,148.83194,-0.31280828,140.36038,,,,,,,,,,142.49362,0.4721563,141.76021,147.05846,-0.9697501,142.27635,,,,149.77782,-0.8484445,142.89001,,,,,,,,,,144.67589,0.14285463,137.69678,139.34157,3.9425514,133.35556,142.7283,1.3637595,135.9734,139.34157,3.9425514,133.35556,140.90848,14.259239,130.70656,145.01035,8.223485,143.50925,146.35043,13.134841,143.58669,146.00894,15.08766,143.80785,,,,146.32542,13.561736,141.99515,144.88126,14.827618,140.68803,138.59143,16.441671,135.40411,138.63527,9.063078,135.91307,140.866,9.680507,134.20789,138.36621,14.613688,135.41788,142.15599,14.810362,137.36281,142.24126,16.939438,138.01184,142.93512,10.170463,138.39633,145.29666,5.5922284,134.16019,145.29666,5.5922284,134.16019
10,,,,,,,,,,,,,,,,151.63931,1.4124744,142.71027,,,,148.05412,2.490045,136.33295,148.96967,-0.34027386,140.4855,,,,,,,,,,142.64024,0.47891846,141.90454,147.17427,-1.0476694,142.4152,,,,149.90045,-0.89122784,142.99654,,,,,,,,,,144.9974,0.102539465,137.99982,139.60715,3.828133,133.59276,142.75774,1.3233166,136.03651,139.60715,3.828133,133.59276,141.11241,14.208594,130.94875,145.15744,8.203668,143.65575,146.47855,13.10951,143.70825,145.85663,15.031858,143.92741,,,,146.47748,13.445928,142.13165,145.5644,14.757348,141.31024,138.65083,16.47117,135.4697,138.69878,9.01675,135.96632,141.14621,9.6274805,134.45584,138.38159,14.761518,135.42883,142.17737,14.850405,137.38602,142.24443,16.991892,138.01796,143.09883,10.036369,138.562,145.4087,5.5708785,134.28221,,,
11,,,,150.47527,2.478798,143.79143,,,,,,,,,,151.6534,1.5320303,142.75061,,,,148.09486,2.4278286,136.41832,149.03207,-0.35835126,140.5722,,,,,,,,,,142.78337,0.44720954,142.04115,147.23756,-1.082919,142.47446,,,,150.2037,-0.9460781,143.28093,,,,,,,,,,145.00014,0.048118718,138.00966,139.63472,3.7914915,133.62947,142.9978,1.28062,136.29663,139.63472,3.7914915,133.62947,141.34276,13.950095,131.17372,145.17464,8.153361,143.67441,145.95007,12.941631,144.31439,145.8215,14.758363,143.97958,,,,146.82909,13.017286,142.38995,145.6561,14.726671,141.35564,138.45085,16.460417,135.2735,138.88474,9.005429,136.1943,141.38184,9.837084,134.64522,138.53545,14.770462,135.35432,142.18079,14.879544,137.39143,142.463,16.992706,137.91328,143.16505,10.033061,138.62646,145.5572,5.562014,134.4711,,,
12,,,,150.46068,2.4354851,143.85292,,,,,,,,,,151.6244,1.5309451,142.7856,,,,148.12224,2.299289,136.48972,149.08482,-0.2560397,140.68228,,,,,,,,,,142.76881,0.44849277,142.05809,147.16296,-1.2920336,142.49112,,,,150.21219,-0.85925466,143.35979,,,,,,,,,,145.19357,0.039022643,138.26271,139.81284,3.364262,133.79036,143.33958,1.2557307,136.69107,139.81284,3.364262,133.79036,141.24771,13.878332,131.28123,145.19742,8.149761,143.75153,145.9258,12.759371,144.32318,145.9315,14.701125,144.09215,,,,147.28854,12.941246,142.8412,146.18398,14.64086,141.57407,138.34445,16.566442,135.26758,139.04991,8.993204,136.35583,141.56557,9.847671,134.63673,138.5567,14.769803,135.37526,142.16928,14.887689,137.4488,142.47794,16.939573,137.96873,143.56015,10.071434,139.08292,145.93694,5.667422,134.86064,,,
13,,,,150.55356,2.4188952,143.93909,,,,,,,,,,151.7663,1.5118458,142.91736,,,,148.13586,2.2582197,136.49948,149.34586,-0.2837561,140.92789,,,,,,,,,,142.787,0.43750414,142.07327,147.17357,-1.2962421,142.5003,,,,150.57614,-0.84625554,143.70544,,,,,,,,,,145.22598,0.002367573,138.29291,139.85123,3.3505414,133.82408,143.37202,1.227721,136.71986,139.85123,3.3505414,133.82408,141.22205,13.793471,131.50134,145.202,8.138873,143.75641,145.88002,12.51958,144.29007,145.92752,14.679145,144.08945,,,,147.73639,12.905573,143.33833,147.2225,14.632802,142.58586,138.4054,16.529755,135.32005,139.14607,8.979094,136.44466,141.57745,9.819772,134.62428,138.65807,14.7462435,135.4802,142.23518,14.907463,137.51198,142.55081,16.938684,138.00635,143.58298,10.070294,139.10515,146.12093,5.6357365,135.02553,,,
14,,,,150.58922,2.3798418,143.96692,,,,,,,,,,151.92055,1.4698371,143.11821,,,,148.31273,2.184721,136.79408,149.32388,-0.30183977,140.95355,,,,,,,,,,142.81511,0.5356504,142.08633,147.23692,-1.2989938,142.56288,,,,150.60736,-0.8462337,143.7423,,,,,,,,,,145.48302,-0.04177343,138.54858,139.97145,3.2313435,133.93192,143.384,1.1916554,136.73686,139.97145,3.2313435,133.93192,141.25125,13.901474,131.5562,145.19238,7.910366,143.72514,145.88002,12.51958,144.29007,145.92752,14.679145,144.08945,,,,148.22617,12.804893,143.83727,,,,138.52402,16.526861,135.43707,139.14806,8.782206,136.45114,141.46571,9.497712,134.4967,138.65942,14.674189,135.48543,142.22636,14.96583,137.52147,142.54788,16.959785,138.00844,143.5515,9.823915,139.08485,146.04688,5.396407,135.08234,146.04688,5.396407,135.08234
15,,,,150.62144,2.43808,144.03056,,,,,,,,,,151.95453,1.4242148,143.17038,,,,148.40926,2.1758552,136.89119,149.48123,-0.33662814,141.12462,,,,,,,,,,,,,147.67691,-1.149914,142.98483,,,,150.77019,-0.8635837,143.93384,,,,,,,,,,145.59323,-0.062385064,138.68523,140.02448,3.2232475,134.01196,143.51918,1.17825,136.89684,140.02448,3.2232475,134.01196,141.34315,14.065419,131.8407,145.22568,7.8980155,143.68677,145.86484,12.434271,144.27922,146.07014,14.992555,144.23817,,,,,,,,,,138.30713,16.522451,135.23557,139.31673,8.898411,136.6456,141.46992,9.475634,134.51251,138.6902,14.717951,135.53203,142.24927,14.970161,137.54478,142.53146,16.961489,138.02618,143.7041,9.907445,139.24693,146.04214,5.396032,135.0875,146.04214,5.396032,135.0875
16,,,,150.714,2.5240138,144.1173,,,,,,,,,,151.99905,1.3783596,143.24016,,,,148.40579,2.166636,136.93834,149.45079,-0.45444134,141.12036,,,,,,,,,,142.94931,0.5246013,142.16046,147.71974,-1.1030804,143.02931,,,,150.83508,-0.859392,144.00185,,,,,,,,,,145.82721,-0.083896674,138.91557,140.0969,3.1309845,134.08759,143.53375,1.1165178,136.91782,140.0969,3.1309845,134.08759,141.41902,14.037333,131.96696,145.34895,7.902422,143.54478,145.8936,12.682567,144.33415,146.26411,14.773018,144.38876,,,,,,,,,,138.3123,16.573683,135.24551,139.38051,8.8205385,136.7124,141.44333,9.387511,134.51353,138.72575,14.66198,135.57944,142.40976,14.94895,137.7028,142.45816,16.967234,137.95723,143.70222,9.815908,139.2556,146.14534,5.312308,135.23412,146.14534,5.312308,135.23412
17,,,,150.79482,2.54841,144.19342,,,,,,,,,,152.17276,1.4103585,143.49992,,,,148.61142,2.074447,137.19937,149.42116,-0.43168098,141.18573,,,,,,,,,,143.21558,0.5026924,142.4053,147.78036,-1.0225707,143.13844,,,,150.82225,-0.8780315,144.00073,,,,,,,,,,146.05368,-0.13295086,139.2176,140.2258,2.8892255,134.22412,143.56679,1.0963198,137.02454,140.2258,2.8892255,134.22412,141.7316,14.056284,132.40715,145.33731,7.833908,143.53539,145.90549,12.675269,144.32504,146.28305,14.772975,144.38002,,,,,,,,,,138.27783,16.61612,135.26558,139.48924,8.802821,136.85428,141.3521,9.169005,134.54283,138.8139,14.407303,135.72452,142.47527,14.852237,137.60147,142.4104,16.978622,137.98128,143.73181,9.790711,139.34554,146.0995,5.228729,135.27742,,,
18,,,,,,,,,,,,,,,,152.24782,1.429039,143.6115,,,,148.64342,2.0079784,137.20213,149.44986,-0.35051244,141.25249,,,,,,,,,,,,,147.94067,-0.9962504,143.34749,,,,150.79277,-0.8435034,143.98456,,,,,,,,,,146.2928,-0.13005863,139.48982,140.23738,2.8431947,134.26927,143.70023,0.9691593,137.16658,140.23738,2.8431947,134.26927,141.53017,14.130058,132.60265,145.53464,7.83742,143.73471,146.43898,12.684716,143.77264,146.58397,14.996173,144.10233,,,,,,,,,,138.25912,16.615927,135.2848,139.49763,8.65564,136.90668,141.33192,9.024109,134.58643,138.79976,14.396959,135.74747,142.30487,14.838532,137.39883,142.3917,16.966822,137.9979,143.85957,9.770158,139.50403,146.09282,5.249616,135.29147,,,
